No.,Name,Date,Location
110,Hermit Thrush,"Dec. 18th, 2023","Barton Creek, MA"
109,Ladder-backed Woodpecker,"Dec. 18th, 2023","Barton Creek, MA"
108,Spotted Towhee,"Dec. 18th, 2023","Barton Creek, MA"
107,Little Blue Heron,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
106,American Wigeon,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
105,Northern Pintail,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
104,Least Sandpiper,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
103,Crested Caracara,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
102,Pyrrhuloxia,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
101,Scissor-tailed Flycatcher,"Dec. 17th, 2023","Roy G. Guerrero Park, TX"
100,Lesser Scaup,"Dec. 16th, 2023","Austin, TX"
99,Monk Parakeet,"Dec. 16th, 2023","Austin, TX"
98,Pine Warbler,"Dec. 16th, 2023","McKinney, TX"
97,Blue-gray Gnatcatcher,"Dec. 16th, 2023","McKinney, TX"
96,Black Vulture,"Dec. 16th, 2023","McKinney, TX"
95,White-winged Dove,"Dec. 16th, 2023","McKinney, TX"
94,Pied-billed Grebe,"Dec. 16th, 2023","McKinney, TX"
93,Gadwall,"Dec. 15th, 2023","Austin, TX"
92,Great-tailed Grackle,"Dec. 15th, 2023","Austin, TX"
91,Black-crested Titmouse,"Dec. 15th, 2023","Austin, TX"
90,Orange-crowned Warbler,"Dec. 15th, 2023","Austin, TX"
89,American Tree Sparrow,"Dec. 10th, 2023","Belle Isle Marsh, MA"
88,Long-billed Dowitcher,"Dec. 10th, 2023","Belle Isle Marsh, MA"
87,American Black Duck,"Dec. 9th, 2023","Fenway, MA"
86,Greater Scaup,"Dec. 9th, 2023","Chestnut Hill Reservoir, MA"
85,Ash-throated Flycatcher,"Dec. 1st, 2023","Danehy Park, MA"
84,Winter Wren,"Nov. 22nd, 2023","Valley Creek, PA"
83,Pileated Woodpecker,"Nov. 22nd, 2023","Valley Creek, PA"
82,Northern Harrier,"Nov. 20th, 2023",Valley Forge NHP
81,Field Sparrow,"Nov. 20th, 2023",Valley Forge NHP
80,Turkey Vulture,"Nov. 20th, 2023","Parent’s House, PA"
79,Fox Sparrow,"Nov. 19th, 2023",Valley Forge NHP
78,Carolina Chickadee,"Nov. 17th, 2023","Parent’s House, PA"
77,Common Loon,"Nov. 11th, 2023","Deer Island, MA"
76,Red-breasted Merganser,"Nov. 11th, 2023","Deer Island, MA"
75,Surf Scoter,"Nov. 11th, 2023","Deer Island, MA"
74,Long-tailed Duck,"Nov. 11th, 2023","Deer Island, MA"
73,Common Eider,"Nov. 11th, 2023","Deer Island, MA"
72,Sanderling,"Nov. 11th, 2023","Deer Island, MA"
71,Snow Bunting,"Nov. 11th, 2023","Deer Island, MA"
70,Ruddy Duck,"Nov. 10th, 2023","Fresh Pond, MA"
69,Ring-necked Duck,"Nov. 10th, 2023","Fresh Pond, MA"
68,Carolina Wren,"Nov. 10th, 2023","Fresh Pond, MA"
67,Yellow-bellied Sapsucker,"Nov. 5th, 2023","Mount Auburn Cemetery, MA"
66,Eastern Bluebird,"Nov. 4th, 2023","Broadmoor Wildlife Refuge, MA"
65,Hairy Woodpecker,"Nov. 4th, 2023","Broadmoor Wildlife Refuge, MA"
64,Green-winged Teal,"Nov. 4th, 2023","Broadmoor Wildlife Refuge, MA"
63,Spotted Sandpiper,"Oct. 29th, 2023","Jamaica Pond, MA"
62,Hooded Merganser,"Oct. 28th, 2023","Horn Pond, MA"
61,Cooper’s Hawk,"Oct. 28th, 2023","Horn Pond, MA"
60,Common Grackle,"Oct. 28th, 2023","Horn Pond, MA"
59,American Coot,"Oct. 28th, 2023","Horn Pond, MA"
58,Eastern Phoebe,"Oct. 22nd, 2023","Fresh Pond, MA"
57,Blue-headed Vireo,"Oct. 22nd, 2023","Fresh Pond, MA"
56,Dark-eyed Junco,"Oct. 15th, 2023","Great Meadows NWR, MA"
55,Palm Warbler,"Oct. 14th, 2023","Broadmoor Wildlife Refuge, MA"
54,White-throated Sparrow,"Oct. 14th, 2023","Broadmoor Wildlife Refuge, MA"
53,Wood Duck,"Oct. 14th, 2023","Broadmoor Wildlife Refuge, MA"
52,Brown Creeper,"Oct. 14th, 2023","Broadmoor Wildlife Refuge, MA"
51,Golden-crowned Kinglet,"Oct. 14th, 2023","Broadmoor Wildlife Refuge, MA"
50,Savannah Sparrow,"Oct. 9th, 2023","Great Meadows NWR, MA"
49,Rusty Blackbird,"Oct. 9th, 2023","Great Meadows NWR, MA"
48,Swamp Sparrow,"Oct. 9th, 2023","Great Meadows NWR, MA"
47,Ruby-crowned Kinglet,"Oct. 9th, 2023","Great Meadows NWR, MA"
46,Yellow-rumped Warbler,"Oct. 9th, 2023","Great Meadows NWR, MA"
45,Tufted Titmouse,"Oct. 8th, 2023","Mount Auburn Cemetery, MA"
44,Greater Yellowlegs,"Oct. 3rd, 2023","Belle Isle Marsh, MA"
43,American Oystercatcher,"Oct. 1st, 2023","Squantum Point SP, MA"
42,American Herring Gull,"Oct. 1st, 2023","Squantum Point SP, MA"
41,Ring-billed Gull,"Oct. 1st, 2023","Squantum Point SP, MA"
40,Snowy Egret,"Sep. 22nd, 2023","Belle Isle Marsh, MA"
39,Great Egret,"Sep. 22nd, 2023","Belle Isle Marsh, MA"
38,Black-and-white Warbler,"Aug. 12th, 2023","Mount Auburn Cemetery, MA"
37,Northern Flicker,"Aug. 12th, 2023","Mount Auburn Cemetery, MA"
36,Baltimore Oriole,"Aug. 12th, 2023","Mount Auburn Cemetery, MA"
35,White-breasted Nuthatch,"Aug. 12th, 2023","Mount Auburn Cemetery, MA"
34,Chimney Swift,"Aug. 8th, 2023","Fresh Pond, MA"
33,Green Heron,"Aug. 6th, 2023","Fresh Pond, MA"
32,Ruby-throated Hummingbird,"Aug. 5th, 2023","Great Meadows NWR, MA"
31,Cedar Waxwing,"Aug. 5th, 2023","Great Meadows NWR, MA"
30,Mute Swan,"Aug. 2nd, 2023","Alewife Brook, MA"
29,Black-capped Chickadee,"Aug. 1st, 2023","Fresh Pond, MA"
28,Eastern Kingbird,"Jul. 30th, 2023","Esplanade, MA"
27,Killdeer,"Jul. 22nd, 2023","Assembly T Station, MA"
26,Red-bellied Woodpecker,"Jul. 14th, 2023","Valley Creek, PA"
25,Belted Kingfisher,"Jul. 14th, 2023","Valley Creek, PA"
24,Great Blue Heron,"Jul. 14th, 2023","Valley Creek, PA"
23,American Goldfinch,"Jul. 13th, 2023","Parent’s House, PA"
22,Red-tailed Hawk,"Jul. 13th, 2023","Parent’s House, PA"
21,Downy Woodpecker,"Jul. 9th, 2023","Audubon Nature Center, MA"
20,Northern Cardinal,"Jul. 9th, 2023","Audubon Nature Center, MA"
19,Northern Mockingbird,"Jul. 5th, 2023",Gore St. MA
18,Gray Catbird,"Jul. 1st, 2023","Portland, ME"
17,Canada Goose,"Jun. 11th, 2023","Neighborhood, MA"
16,Mallard,"Jun. 11th, 2023","Neighborhood, MA"
15,Mourning Dove,"Jun. 11th, 2023","Neighborhood, MA"
14,Rock Pigeon,"Jun. 11th, 2023","Neighborhood, MA"
13,Great Black-Backed Gull,"Jun. 11th, 2023","Neighborhood, MA"
12,House Finch,"Jun. 11th, 2023","Neighborhood, MA"
11,American Crow,"Jun. 11th, 2023","Neighborhood, MA"
10,American Robin,"Jun. 11th, 2023","Neighborhood, MA"
9,House Sparrow,"Jun. 11th, 2023","Neighborhood, MA"
8,European Starling,"Jun. 11th, 2023","Neighborhood, MA"
7,Blue Jay,"Jun. 11th, 2023","Neighborhood, MA"
6,Wild Turkey,"Jun. 11th, 2023","Neighborhood, MA"
5,Double-crested Cormorant,"Jun. 10th, 2023",George’s Island
4,Red-winged Blackbird,"Jun. 10th, 2023",George’s Island
3,Barn Swallow,"Jun. 10th, 2023",George’s Island
2,Clark’s Nutcracker,"May 28th, 2023","BANFF, CA"
1,Black-billed Magpie,"May 26th, 2023","BANFF, CA"
